# Function compilation error categories
# Generated from: compilation_by_function.txt
# Total: 331 failing | FIXABLE: 151 | HARD: 132 | JUNK: 48
#
# Format: CATEGORY | error_count | function_name | reasons
#
FIXABLE |  12 | core_skeledit.cpp_CDeformableModel_exportModelToS3D_FUN_00595fc0 | only format string errors
FIXABLE |   7 | core_skeledit.cpp_CDeformableModel_importFacesS3D_FUN_0058b9b0 | only format string errors
FIXABLE |   3 | core_skeledit.cpp_CDeformableModel_importGeometryS3D_FUN_0058b660 | only format string errors
FIXABLE |   3 | core_skeledit.cpp_CDeformableModel_importVerticesS3D_FUN_0058bc40 | only format string errors
FIXABLE |  13 | core_skeledit.cpp_CDeformableModel_saveStream_FUN_0058f120 | only format string errors
FIXABLE |   2 | core_skeledit.cpp_CLodMeshPrecomputeEntry_load_FUN_00589fe0 | only format string errors
FIXABLE |   4 | core_skeledit.cpp_CSkeleton_saveStream_FUN_0058b3a0 | only format string errors
FIXABLE |   1 | core_skeleton.cpp_CDeformableModelInstance_computeBoneTransformsForFrame_FUN_005a0ad0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_skeleton.cpp_CDeformableModel_exactRayTrace_FUN_0059cba0 | only 1 stack variable declaration(s) needed
FIXABLE |  16 | core_skeleton.cpp_CDeformableModel_loadStream_FUN_0059b970 | only format string errors
FIXABLE |   9 | core_skeleton.cpp_CSkeleton_loadStream_FUN_00599bb0 | only format string errors
FIXABLE |   1 | core_sound.cpp_CSound_init_FUN_005b2dd0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_sound.cpp_CSound_process_FUN_005b2fd0 | only format string errors
FIXABLE |   1 | core_sound.cpp_processTrainSounds_FUN_005b2770 | only format string errors
FIXABLE |   1 | core_sound.cpp_resetTrainSounds_FUN_005b26f0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_sound.cpp_updateListeners_FUN_005b1870 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_stranger.cpp_CStranger_renderOpaque_FUN_005c3150 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_texlist.cpp_CTextureList_load_FUN_005dbe00 | only format string errors
FIXABLE |   1 | core_trash.cpp_CTrash_renderOpaque_FUN_005df550 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_vehicle.cpp_CVehicle_getPropertyList_FUN_005e8ba0 | only format string errors
FIXABLE |   1 | core_vehicle.cpp_CVehicle_renderOpaque_FUN_005e88c0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | core_vessel.cpp_CCryptVessel_renderTransparent_FUN_005e98b0 | only 1 stack variable declaration(s) needed
FIXABLE |   1 | engine_drender.cpp_CDemonRenderer_renderPerspectiveTextured_FUN_0048ad90 | single type_error
FIXABLE |   2 | engine_fileio.cpp_CFileManager_extractFilesToDirectory_FUN_004b76d0 | only format string errors
FIXABLE |   3 | engine_fileio.cpp_CFileManager_extractPodFile_FUN_004b6e10 | only format string errors
FIXABLE |  19 | engine_fileio.cpp_CFileManager_managePodFiles_FUN_004b86b0 | only format string errors
FIXABLE |   1 | engine_fileio.cpp_CFileManager_processMRGLNode_FUN_004b54e0 | only format string errors
FIXABLE |   2 | engine_fileio.cpp_CFileManager_viewPodAuditTrail_FUN_004b7f50 | only format/pointer-width errors
FIXABLE |   1 | engine_ini.cpp_CIniFile_getFloat_FUN_004fbcd0 | only format string errors
FIXABLE |   1 | engine_ini.cpp_getProfileInteger_FUN_004fb9a0 | only format string errors
FIXABLE |   1 | engine_model.c_getMRGLBounds_FUN_00528140 | single type_error
FIXABLE |   1 | shape_design.c_calculatePolygonNormal_FUN_0045caa0 | single type_error
FIXABLE |   1 | shape_design.c_configureSinglePassPolygonReduction_FUN_00465560 | only format string errors
FIXABLE |  19 | shape_design.c_cramTextureList_FUN_0046bb80 | only format string errors
FIXABLE |  15 | shape_design.c_createPolygonFromVertexList_FUN_0045cc80 | only format string errors
FIXABLE |   6 | shape_design.c_createRotationalSweepGeometry_FUN_0045e070 | only format string errors
FIXABLE |  11 | shape_design.c_exportModelToMDL_FUN_00459e80 | only format string errors
FIXABLE |   4 | shape_design.c_exportVertexListFile_FUN_0045a610 | only format string errors
FIXABLE |   2 | shape_design.c_loadModelBinary_FUN_00458170 | only format string errors
FIXABLE |   9 | shape_design.c_loadModelFile_FUN_00458ac0 | only format string errors
FIXABLE |  10 | shape_design.c_loadS3DModelFile_FUN_004593a0 | only format string errors
FIXABLE |   1 | shape_design.c_loadTextureData_FUN_0046b060 | only format string errors
FIXABLE |   1 | shape_design.c_normalizeVertex_FUN_00461e60 | single type_error
FIXABLE |   1 | shape_design.c_optimizePolygonMesh_FUN_004658e0 | only format string errors
FIXABLE |   1 | shape_design.c_parseSpatialTreeFromFile_FUN_004580a0 | only format string errors
FIXABLE |   1 | shape_design.c_renderEditorBackgroundOverlay_FUN_0045d920 | only 1 stack variable declaration(s) needed
FIXABLE |   2 | shape_design.c_renderSinglePolygon_FUN_0045ce20 | only 2 stack variable declaration(s) needed
FIXABLE |  16 | shape_design.c_showFacetPartEditor_FUN_0045f1d0 | only format string errors
FIXABLE |   5 | shape_design.c_showPointEditor_FUN_0045c6c0 | only format string errors
FIXABLE |   1 | shape_design.c_vertexReducer_FUN_00467850 | only format string errors
FIXABLE |   1 | shape_design.c_writeBinaryTreeNode_FUN_00457fd0 | only format string errors
FIXABLE |   6 | shape_design.c_writePolygonModel_FUN_0045a320 | only format string errors
FIXABLE |   1 | shape_edittool.cpp_CEditorTools_promptForValidFloat_FUN_004a00f0 | only format string errors
FIXABLE |   1 | shape_edittool.cpp_CEditorTools_promptForValidVector_FUN_004a0300 | only format string errors
FIXABLE |   3 | shape_memdbg.cpp_SMemHead_checkMemory_FUN_0050f020 | only format string errors
FIXABLE |   5 | shape_memdbg.cpp_closeFile_FUN_0050f9b0 | only format string errors
FIXABLE |   3 | shape_memdbg.cpp_debugCalloc_FUN_0050f350 | only format string errors
FIXABLE |   1 | shape_memdbg.cpp_debugFree_FUN_0050f460 | only format string errors
FIXABLE |   1 | shape_memdbg.cpp_debugMalloc_FUN_0050f250 | only format string errors
FIXABLE |   2 | shape_memdbg.cpp_debugRealloc_FUN_0050f540 | only format string errors
FIXABLE |   1 | shape_meshlod.cpp_CLodMesh_computeEdgeCollapseCost_FUN_00518910 | single type_error
FIXABLE |   3 | shape_meshlod.cpp_CLodMesh_eqSave_FUN_0051d0e0 | only format string errors
FIXABLE |   7 | shape_meshlod.cpp_CLodMesh_exportToS3D_FUN_0051c100 | only format string errors
FIXABLE |   1 | shape_meshlod.cpp_CLodMesh_fixupAfterCram_FUN_0051bac0 | only format string errors
FIXABLE |   2 | shape_meshlod.cpp_CLodMesh_gridLoad_FUN_0051d2d0 | only format string errors
FIXABLE |   4 | shape_meshlod.cpp_CLodMesh_loadReplayData_FUN_0051d180 | only format string errors
FIXABLE |  13 | shape_meshlod.cpp_CLodMesh_parseS3DFileVariant_FUN_0051adf0 | only format string errors
FIXABLE |   8 | shape_meshlod.cpp_CLodMesh_parseS3DFile_FUN_0051aa60 | only format string errors
FIXABLE |   2 | shape_meshlod.cpp_CLodMesh_saveReplayData_FUN_0051d250 | only format string errors
FIXABLE |   1 | shape_superopt.cpp_CComplexPolygon_computeWindingNormal_FUN_005cbb40 | single type_error
FIXABLE |   1 | shape_superopt.cpp_CObj_updatePolyFlagsFromVerts_FUN_005d36b0 | single pointer_type
FIXABLE |   1 | sound_snddx.cpp_CDirectSoundDevice_allocateSfx_FUN_005af410 | single pointer_type
FIXABLE |   1 | sound_snddx.cpp_CDirectSoundDevice_getSfxPlaybackPos_FUN_005afd60 | single pointer_type
FIXABLE |   1 | sound_snddx.cpp_CDirectSoundDevice_poll_FUN_005aed50 | single pointer_type
FIXABLE |   8 | sound_snddx.cpp_CDirectSoundDevice_setSfxPos_FUN_005af750 | only format string errors
FIXABLE |   1 | sound_snddx.cpp_directSoundEnumerationCallback_FUN_005b0120 | single pointer_type
FIXABLE |   1 | sound_snddx.cpp_enumerateDirectSoundDevice_FUN_005b0390 | only format string errors
FIXABLE |   1 | sound_snddx.cpp_getDirectSoundDevice_FUN_005b0440 | single pointer_type
FIXABLE |   3 | sound_sndmain.cpp_CSfxSample_seek_FUN_005a65a0 | only format string errors
FIXABLE |   3 | sound_sndmain.cpp_CSfxSlot_kill_FUN_005a7e60 | only format string errors
FIXABLE |   2 | sound_sndmain.cpp_CSfxSlot_pollHwHandle_FUN_005a7fe0 | only format string errors
FIXABLE |   1 | sound_sndmain.cpp_CSfxSlot_pollHwPlaybackPos_FUN_005a80e0 | only format string errors
FIXABLE |   1 | sound_sndmain.cpp_formatActiveSounds_FUN_005a9f80 | only format string errors
FIXABLE |  13 | sound_sndmain.cpp_formatSfxOptionsToString_FUN_005a8d00 | only format string errors
FIXABLE |   2 | sound_sndmain.cpp_getSampleInfo_FUN_005aa3f0 | only format string errors
FIXABLE |   1 | sound_sndmain.cpp_logSoundError_FUN_005adba0 | only format string errors
FIXABLE |   3 | sound_sndmain.cpp_testSoundFiles_FUN_005ad5c0 | only format string errors
FIXABLE |   1 | support_codec.cpp_readBitsFromStream_FUN_0043e530 | single type_error
FIXABLE |   1 | wincore_windll.cpp_initializeExternalRenderer_FUN_005b5ec0 | single argument_error
FIXABLE |   1 | wincore_windll.cpp_loadExternalRenderer_FUN_005b6750 | single argument_error
HARD |  10 | core_dmodel.cpp_CKeyFramedModel_showEditorMenu_FUN_0047cbc0 | 10 errors (format_error:7, undeclared_identifier:3)
HARD |  19 | core_event.cpp_CEventList_executeCommand_FUN_004aacc0 | 19 errors (format_error:16, undeclared_identifier:3)
HARD |   1 | core_frankgen.cpp_CFrankenstienMachine_getPropertyList_FUN_004d2500 | single incompatible_types: invalid conversion specifier '.' [-Werror,-Wformat-invalid-specifier]
HARD |   3 | core_game.cpp_CGame_saveGame_FUN_004e0cd0 | 3 errors (format_error:2, incompatible_types:1)
HARD |   1 | core_gore.cpp_CBloodParticle_setupRenderState_FUN_004eb9d0 | undeclared identifier: use of undeclared identifier 'INT_02d83398'
HARD |   4 | core_larva.cpp_CLarva_process_FUN_00503080 | 4 errors (format_error:2, undeclared_identifier:2)
HARD |   8 | core_main.c_showDeveloperToolsMenu_FUN_005073a0 | 8 errors (type_error:8)
HARD |   6 | core_mimic.cpp_CMimic_processAnimation_FUN_0051fcc0 | 6 errors (type_error:6)
HARD |   2 | core_mmx.c_detectIntelProcessor_FUN_00524f4c | 2 errors (undeclared_identifier:1, pointer_type:1)
HARD |   5 | core_motion.cpp_CMotionController_render_FUN_0052e700 | 5 errors (undeclared_identifier:5)
HARD |   3 | core_msnedit.cpp_CDemonMission_editActorAtIndex_FUN_0053b030 | 3 errors (format_error:2, other:1)
HARD |   3 | core_msnedit.cpp_CDemonMission_editActorDetailed_FUN_0053b510 | 3 errors (format_error:2, other:1)
HARD |   5 | core_msnedit.cpp_CDemonMission_editActorsInSet_FUN_005390f0 | 5 errors (undeclared_identifier:4, format_error:1)
HARD |   7 | core_msnedit.cpp_CDemonMission_editGore_FUN_0053e220 | 7 errors (type_error:7)
HARD |   5 | core_msnedit.cpp_CDemonMission_enemyRandomizer_FUN_005379e0 | 5 errors (undeclared_identifier:3, format_error:2)
HARD |   6 | core_msnedit.cpp_CDemonMission_playMission_FUN_00538ba0 | 6 errors (type_error:6)
HARD |   2 | core_msnedit.cpp_CDemonMission_replicateActor_FUN_0053bd80 | 2 errors (type_error:1, other:1)
HARD |  11 | core_msnedit.cpp_CDemonMission_showDifficultyStats_FUN_0053d3b0 | 11 errors (type_error:6, format_error:5)
HARD |   1 | core_netgame.cpp_CNetGame_runLobby_FUN_00541390 | 1 errors (cast_error:1)
HARD |   2 | core_netgame.cpp_CNetGame_swapPlayerData_FUN_00543bb0 | 2 type_error errors
HARD |   1 | core_particle.cpp_CParticle_process_FUN_00545760 | 1 errors (cast_error:1)
HARD |  19 | core_script.cpp_CCmdParm_setTemplateText_FUN_00560de0 | 19 errors (incompatible_types:10, pointer_type:9)
HARD |   6 | core_script.cpp_CScript_processEditorInput_FUN_00565130 | 6 errors (incompatible_types:4, pointer_precision:2)
HARD |   2 | core_script.cpp_CScript_step_FUN_0055a810 | 2 errors (format_error:1, undeclared_identifier:1)
HARD |   7 | core_setedit.cpp_CDemonSet_editCameraPosition_FUN_0057d660 | 7 errors (format_error:5, undeclared_identifier:2)
HARD |   4 | core_setedit.cpp_CDemonSet_positionLight_FUN_0057ae50 | 4 errors (undeclared_identifier:4)
HARD |   5 | core_setedit.cpp_CDemonSet_showScenePreview_FUN_0057a940 | 5 errors (type_error:2, undeclared_identifier:2, format_error:1)
HARD |   2 | core_setedit.cpp_loadCameraThumbnail_FUN_005769a0 | 2 errors (undeclared_identifier:1, syntax_error:1)
HARD |  10 | core_skeledit.cpp_CDeformableModel_buildFromPosFile_FUN_0058c190 | 10 errors (format_error:5, type_error:5)
HARD |   2 | core_skeledit.cpp_CDeformableModel_sortFacesByTexture_FUN_0058e240 | 2 incompatible_types errors
HARD |  19 | core_skeledit.cpp_CSkeleton_importSkeletonFile_FUN_00592690 | 19 errors (format_error:18, type_error:1)
HARD |   2 | core_skeleton.cpp_CDeformableModelInstance_blendWithQuaternions_FUN_0059f260 | 2 incompatible_types errors
HARD |  13 | core_sound.cpp_playSfxInternal_FUN_005b1fd0 | 13 errors (format_error:12, incompatible_types:1)
HARD |   4 | core_stranger.cpp_CStranger_makeDrawDecision_FUN_005bfb60 | 4 errors (incompatible_types:4)
HARD |   3 | core_texlist.cpp_CTextureList_buildMasterTextureList_FUN_005dc2a0 | 3 incompatible_types errors
HARD |   2 | core_turret.cpp_CTurret_process_FUN_005e2430 | 2 type_error errors
HARD |   7 | core_werewolf.cpp_CWerewolf_process_FUN_005efde0 | 7 errors (format_error:3, undeclared_identifier:2, type_error:2)
HARD |   4 | core_xform.cpp_clipPolygonStage1_FUN_005f7ed0 | 4 errors (type_error:4)
HARD |   4 | core_xform.cpp_clipPolygonStage2_FUN_005f8040 | 4 errors (type_error:4)
HARD |   4 | core_xform.cpp_clipPolygonStage3_FUN_005f81c0 | 4 errors (type_error:4)
HARD |   4 | core_xform.cpp_clipPolygonStage4_FUN_005f8330 | 4 errors (type_error:4)
HARD |  19 | core_xform.cpp_transformAndClipGeometry_FUN_005f8550 | 19 errors (type_error:13, other:6)
