name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
crt_string.c__strncpy_FUN_1000a9f0,1000a9f0,crt/string.c,102,12,pointer_cast|pointer_truncation,232
crt_heap.c__set_new_handler_FUN_1000aaf0,1000aaf0,crt/heap.c,9,2,undefined_data,34
crt_heap.c__callnewh_FUN_1000ab30,1000ab30,crt/heap.c,14,3,undefined_data|unresolved_funcptr,54
crt_stdio.c___endstdio_FUN_1000ab70,1000ab70,crt/stdio.c,28,6,undefined_data,93
crt_locale.c_setlocale_FUN_1000ac10,1000ac10,crt/locale.c,146,20,pointer_cast|pointer_truncation|undefined_data|unrolled_strlen,366
crt_locale.c_setlocale_set_cat_FUN_1000aee0,1000aee0,crt/locale.c,84,23,undefined_data|unknown_field|unresolved_funcptr|unrolled_memcpy|unrolled_strlen,339
crt_locale.c_setlocale_get_all_FUN_1000b060,1000b060,crt/locale.c,93,16,pointer_cast|pointer_truncation|undefined_data|unrolled_memcpy|unrolled_strlen,278
crt_locale.c__expandlocale_FUN_1000b150,1000b150,crt/locale.c,145,24,param_count_too_few|undefined_data|unknown_field|unrolled_memcpy|unrolled_strlen,410
crt_locale.c__lc_lctostr_FUN_1000b330,1000b330,crt/locale.c,54,4,stack_ref|unrolled_memcpy,104
crt_locale.c__lc_strtolc_FUN_1000b380,1000b380,crt/locale.c,73,4,unrolled_memcpy|unrolled_memset,123
crt_locale.c__setlocale_catcopy_FUN_1000b480,1000b480,crt/locale.c,38,5,undefined_data|unrolled_memcpy,98
crt_io.c__chsize_FUN_1000b4f0,1000b4f0,crt/io.c,16,4,pointer_cast|pointer_truncation|undefined_data,71
crt_io.c__chsize_lk_FUN_1000b560,1000b560,crt/io.c,71,14,stack_param|unrolled_memcpy|unrolled_memset,226
crt_io.c__read_FUN_1000b6a0,1000b6a0,crt/io.c,19,4,pointer_cast|pointer_truncation|undefined_data,74
crt_io.c__read_lk_FUN_1000b720,1000b720,crt/io.c,131,6,pointer_cast|pointer_truncation|undefined_data,206
crt_signal.c_signal_FUN_1000b950,1000b950,crt/signal.c,99,19,pointer_cast|pointer_truncation|undefined_data|unrolled_memcpy,309
crt_signal.c_siglookup2_FUN_1000bb30,1000bb30,crt/signal.c,29,7,undefined_data|unresolved_funcptr,109
crt_signal.c_raise_FUN_1000bbc0,1000bbc0,crt/signal.c,102,12,undefined_data|unresolved_funcptr|warning_noreturn,237
crt_signal.c_siglookup_FUN_1000bda0,1000bda0,crt/signal.c,10,1,pointer_truncation,25
crt_thread.c___pxcptinfoptrs_FUN_1000bdf0,1000bdf0,crt/thread.c,6,0,,6
crt_locale.c___crtGetStringTypeW_FUN_1000be00,1000be00,crt/locale.c,65,9,register_param|undefined_data,165
crt_locale.c__crtGetStringTypeA_FUN_1000bfc0,1000bfc0,crt/locale.c,50,6,param_count_too_many|undefined_data,120
crt_locale.c___crtLCMapStringA_v2_FUN_1000c0f0,1000c0f0,crt/locale.c,76,8,param_count_too_many|undefined_data,166
crt_string.c_wcsnlen_FUN_1000c300,1000c300,crt/string.c,17,1,pointer_truncation,32
crt_locale.c___crtLCMapStringA_FUN_1000c340,1000c340,crt/locale.c,77,7,undefined_data,152
crt_string.c__strncnt_FUN_1000c570,1000c570,crt/string.c,17,1,pointer_truncation,32
crt_math.c__addl_FUN_1000c5a0,1000c5a0,crt/math.c,12,0,,12
crt_math.c__add_12_FUN_1000c5d0,1000c5d0,crt/math.c,17,0,,17
crt_math.c__shl_12_FUN_1000c640,1000c640,crt/math.c,11,0,,11
crt_math.c__shr_12_FUN_1000c680,1000c680,crt/math.c,11,0,,11
crt_math.c__mtold12_FUN_1000c6c0,1000c6c0,crt/math.c,43,3,pointer_cast,78
crt_math.c__strgtold12_FUN_1000c7b0,1000c7b0,crt/math.c,415,51,pointer_cast|pointer_truncation|undefined_data|unknown_field,945
crt_stdlib.c__atodbl_v2_FUN_1000cf00,1000cf00,crt/stdlib.c,15,4,stack_param,60
crt_stdio.c__i10_output_FUN_1000cf50,1000cf50,crt/stdio.c,183,45,concat_reconstruction|pointer_cast|pointer_truncation|unknown_field,653
crt_time.c___get_lc_time_FUN_1000d3a0,1000d3a0,crt/time.c,99,2,undefined_data,124
crt_time.c___free_lc_time_FUN_1000d720,1000d720,crt/time.c,49,0,,49
crt_time.c__maketimefmt_FUN_1000d960,1000d960,crt/time.c,66,0,,66
crt_locale.c__fix_grouping_FUN_1000dc80,1000dc80,crt/locale.c,33,0,,33
crt_locale.c___get_lc_monetary_FUN_1000ddc0,1000ddc0,crt/locale.c,40,1,undefined_data,55
crt_locale.c__fix_grouping_FUN_1000df10,1000df10,crt/locale.c,33,0,,33
crt_locale.c___free_lconv_mon_FUN_1000df60,1000df60,crt/locale.c,13,1,undefined_data,28
crt_string.c_strcspn_FUN_1000e290,1000e290,crt/string.c,54,0,,54
crt_string.c_strncmp_FUN_1000e2d0,1000e2d0,crt/string.c,43,1,unrolled_strlen,58
crt_string.c_strpbrk_FUN_1000e310,1000e310,crt/string.c,53,0,,53
