Sibling annotation report: nocturne.exe <- nocedit.exe
mapping: /home/aryie/Repositories/NocturneDecomp/research/13-sibling_struct_layout_diff/verified_mapping.json   min-confidence: 0.90   signatures: True
mode: APPLY   NAME_SIG=3186  SIG_ONLY=214  ALREADY=484  SKIP_CONF=694  SKIP_SHAPE=25  SKIP_NAMED=64  SKIP_TU=40

  004057a0 <- 004044a0  0.95  identical      engine_3d.c_renderPolygonTexturedNormalizedOp21_FUN_004057a0
  00405840 <- 00404540  0.99  identical      engine_3d.c_setActiveRenderColor_FUN_00405840
  00405870 <- 00404570  0.90  identical      engine_3d.c_drawLineStrip2D_FUN_00405870
  00405900 <- 00404600  0.93  identical      engine_3d.c_drawLineStrip3D_FUN_00405900
  00405990 <- 00404690  0.90  same_mnemonics engine_3d.c_oldFunction7_FUN_00405990
  00405c90 <- 004046c0  0.99  identical      engine_3d.c_renderPolygonLitAlphaPlaneMaskedUVOp24_FUN_00405c90
  00405e10 <- 00404840  0.99  identical      engine_3d.c_renderPolygonAdaptivePlaneMaskedUVOp34_FUN_00405e10
  00406010 <- 00404a40  0.99  identical      engine_3d.c_renderPolygonLitNearPlaneOp35_FUN_00406010
  004060b0 <- 00404ae0  0.99  identical      engine_3d.c_renderPolygonAdaptiveDepthOp25_FUN_004060b0
  00406230 <- 00404c60  0.99  identical      engine_3d.c_renderPolygonLitAlphaPlaneMaskedOp26_FUN_00406230
  00406320 <- 00404d50  0.99  identical      engine_3d.c_renderPolygonFogColorDepthOp27_FUN_00406320
  004063c0 <- 00404df0  0.90  same_mnemonics engine_3d.c_oldFunction8_FUN_004063c0
  00406690 <- 004050c0  0.99  identical      engine_3d.c_updateAnimatedTexture_FUN_00406690
  00406740 <- 00405170  0.99  identical      engine_3d.c_renderPolygonTexturedUVLitOp30_FUN_00406740
  00406840 <- 00405270  0.99  identical      engine_3d.c_setVertexTextureU_FUN_00406840
  00406880 <- 004052b0  0.99  identical      engine_3d.c_renderPolygonDestReadBlendOp33_FUN_00406880
  00406920 <- 00405350  0.99  identical      engine_3d.c_renderPolygonTexturedUVLit_FUN_00406920
  00406ae0 <- 00405510  0.99  identical      engine_3d.c_renderPolygonAlphaTexturedNormalizedLit_FUN_00406ae0
  00406c60 <- 00405690  0.99  identical      engine_3d.c_renderPolygonAlphaBlendedPlaneMaskedOp36_FUN_00406c60
  00406d80 <- 004057b0  0.99  identical      engine_3d.c_renderPolygonAlphaBlendedPlaneMaskedPerspOp37_FUN_00406d80
  00406ea0 <- 004058d0  0.99  identical      engine_3d.c_renderPolygonFogTexturedPerspOp39_FUN_00406ea0
  00406f30 <- 00405960  0.99  identical      engine_3d.c_renderPolygonDepthWritePass_FUN_00406f30
  00406fd0 <- 00405a00  0.99  identical      engine_3d.c_renderPolygonTexturedHardwareOp40_FUN_00406fd0
  00407070 <- 00405aa0  0.99  identical      engine_3d.c_renderPolygonSolidTexturedHardwareOp53_FUN_00407070
  004072d0 <- 00405ce0  0.99  identical      engine_3d.c_renderPolygonFogTexturedDepthOp42_FUN_004072d0
  00407370 <- 00405d80  0.95  identical      engine_3d.c_renderPolygonTexturedDepthWriteOp43_FUN_00407370
  00407410 <- 00405e20  0.99  identical      engine_3d.c_renderPolygonFogTexturedDepthWriteOp44_FUN_00407410
  004074b0 <- 00405ec0  0.95  identical      engine_3d.c_renderPolygonTexturedOp45_FUN_004074b0
  00407550 <- 00405f60  0.95  identical      engine_3d.c_renderPolygonTexturedOp46_FUN_00407550
  004075f0 <- 00406000  0.95  identical      engine_3d.c_renderPolygonTexturedDepthWriteOp47_FUN_004075f0
  00407690 <- 004060a0  0.99  identical      engine_3d.c_renderPolygonSolidTexturedLitOp48_FUN_00407690
  00407740 <- 00406150  0.99  identical      engine_3d.c_renderPolygonTexturedDepthLitOp49_FUN_00407740
  004077e0 <- 004061f0  0.95  identical      engine_3d.c_renderPolygonTexturedNormalizedOp50_FUN_004077e0
  00407880 <- 00406290  0.99  identical      engine_3d.c_renderPolygonSolidTexturedClampedOp51_FUN_00407880
  00407a20 <- 00406430  0.99  identical      engine_3d.c_renderPolygonAdaptiveFogTexturedOp52_FUN_00407a20
  00407cc0 <- 004066d0  0.95  identical      engine_3d.c_renderPolygonGrayscaleLitOp54_FUN_00407cc0
  00407d90 <- 004067a0  0.99  identical      engine_3d.c_renderPolygonDestReadBlendDepthLitOp55_FUN_00407d90
  00407e50 <- 00406860  0.99  identical      engine_3d.c_renderPolygonLitAlphaPlaneMaskedUVOp56_FUN_00407e50
  00408130 <- 00406b40  0.99  identical      engine_3d.c_renderPolygonFullEffectsLitOp57_FUN_00408130
  004081d0 <- 00406be0  0.99  identical      engine_3d.c_renderPolygonVertexAlphaLitOp60_FUN_004081d0
  00408270 <- 00406c80  0.99  identical      engine_3d.c_renderPolygonBlendedLitOp63_FUN_00408270
  00408350 <- 00406d60  0.99  identical      engine_3d.c_setRenderAlphaFromBlock_FUN_00408350
  00408370 <- 00406d80  0.99  identical      engine_3d.c_setRenderAlpha_FUN_00408370
  004083c0 <- 00406dd0  0.93  identical      engine_3d.c_setBlendMode_FUN_004083c0
  004083d0 <- 00406de0  0.99  identical      engine_3d.c_renderPolygonAlphaBlendedDepthWritePlaneMaskedOp58_FUN_004083d0
  00408510 <- 00406f20  0.99  identical      engine_3d.c_renderPolygonAlphaBlendedDepthWritePerspOp59_FUN_00408510
  00408880 <- 00407290  0.99  identical      engine_3d.c_renderPolygonFullEffectsBufferedOp65_FUN_00408880
  00408a60 <- 00407470  0.99  identical      engine_3d.c_renderPolygonFullEffectsDirectOp66_FUN_00408a60
  00408c10 <- 00407620  0.99  identical      engine_3d.c_renderPolygonWithRenderFlags_FUN_00408c10
  00408d10 <- 00407720  0.99  identical      engine_3d.c_renderPolygonWithRenderFlagsUV_FUN_00408d10
  00408f50 <- 00407a30  0.99  identical      engine_3d.c_flushRenderQueue_FUN_00408f50
  00409290 <- 00407d70  0.99  identical      engine_3d.c_clipAndDrawLine2D_FUN_00409290
  00409590 <- 00408070  0.99  identical      engine_3d.c_clipAndDrawLine3D_FUN_00409590
  00409840 <- 00408320  0.99  identical      core_actor.cpp_staticInit_FUN_00409840
  00409860 <- 00408340  0.99  identical      core_actor.cpp_rayCylinderIntersect_FUN_00409860
  00409cf0 <- 00408870  0.99  identical      core_actor.cpp_initTransformCache_FUN_00409cf0
  00409ea0 <- 00408a30  0.85  similar_size   core_actor.cpp_CDemonActor_dtor_FUN_00409ea0
  00409f20 <- 00408b00  0.99  identical      core_actor.cpp_CDemonActor_setupRenderState_FUN_00409f20
  00409f60 <- 00408b40  0.85  identical      core_actor.cpp_CDemonActor_restoreRenderState_FUN_00409f60
  00409fa0 <- 00408b90  0.93  same_mnemonics core_actor.cpp_CDemonActor_getActorClassName_FUN_00409fa0
  00409fc0 <- 00408bb0  0.93  similar_size   core_actor.cpp_CDemonActor_setup_FUN_00409fc0
  0040a000 <- 00408c10  0.99  identical      core_actor.cpp_CDemonActor_updateOrientationMatrix_FUN_0040a000
  0040a060 <- 00408c70  0.99  identical      core_actor.cpp_CDemonActor_getBoundingBox_FUN_0040a060
  0040a200 <- 00408e80  0.93  identical      core_actor.cpp_CDemonActor_transformVector_FUN_0040a200
  0040a220 <- 00408ea0  0.93  identical      core_actor.cpp_CDemonActor_inverseTransformVector_FUN_0040a220
