name,address,virtual_file,lines,suspect_count,suspect_types,complexity_score
FUN_00474010,00474010,shape/edittool.cpp,13,13,unnamed_param|warning_overlapping_globals,153
FUN_00474080,00474080,.,4,5,param_count_too_few|unnamed_param,64
FUN_00474090,00474090,.,35,15,param_count_too_few|unnamed_param,195
FUN_00474140,00474140,.,18,7,param_count_too_few|unnamed_param,98
FUN_00474300,00474300,shape/edittool.cpp,22,20,unnamed_param|warning_overlapping_globals,232
FUN_00474380,00474380,shape/edittool.cpp,51,12,raw_address_constant|undefined_data|unnamed_param|unrolled_strlen|warning_overlapping_globals,196
FUN_00474460,00474460,.,89,23,param_count_too_few|stack_ref|undefined_data|unnamed_param|unresolved_funcptr|unrolled_memcpy|unrolled_strlen,354
FUN_004746b0,004746b0,.,64,16,param_count_too_few|unnamed_param|unrolled_strcpy|unrolled_strlen,244
FUN_004748b0,004748b0,.,79,19,param_count_too_few|unnamed_param|unrolled_strcpy|unrolled_strlen,289
FUN_00474c90,00474c90,.,14,3,param_count_too_few|unnamed_param,54
FUN_00474cf0,00474cf0,.,19,11,param_count_too_few|undefined_data|unnamed_param,144
FUN_00474d70,00474d70,shape/edittool.cpp,33,14,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,193
FUN_00474e70,00474e70,.,7,11,param_count_too_few|unnamed_param,127
FUN_00475230,00475230,.,76,53,param_count_too_few|undefined_data|unnamed_param|unresolved_funcptr|warning_overlapping_globals,631
FUN_00475470,00475470,shape/edittool.cpp,147,84,param_count_too_few|undefined_data|unnamed_param|warning_overlapping_globals,1007
FUN_004759d0,004759d0,.,100,38,param_count_too_few|unnamed_param|warning_overlapping_globals,495
FUN_00475db0,00475db0,.,48,47,param_count_too_few|unnamed_param,528
FUN_00475f10,00475f10,.,14,14,param_count_too_few|unnamed_param|warning_overlapping_globals,169
FUN_00475f80,00475f80,shape/edittool.cpp,25,22,param_count_too_few|unnamed_param|warning_overlapping_globals,260
FUN_00476040,00476040,shape/edittool.cpp,13,11,param_count_too_few|unnamed_param|warning_overlapping_globals,138
FUN_00476160,00476160,.,10,6,unnamed_param,75
FUN_00476260,00476260,.,22,25,param_count_too_few|unnamed_param|warning_overlapping_globals,287
FUN_00476310,00476310,.,76,46,param_count_too_few|unnamed_param|warning_overlapping_globals,551
FUN_00476450,00476450,.,15,12,param_count_too_few|unnamed_param,145
FUN_00476490,00476490,.,5,4,param_count_too_few|unnamed_param,55
FUN_004764b0,004764b0,.,9,4,param_count_too_few|unnamed_param|warning_overlapping_globals,64
FUN_004764d0,004764d0,shape/edittool.cpp,31,30,param_count_too_few|unnamed_param|warning_overlapping_globals,346
FUN_00476580,00476580,.,93,35,param_count_too_few|unnamed_param|warning_overlapping_globals,458
FUN_00476800,00476800,shape/edittool.cpp,47,39,param_count_too_few|unnamed_param|warning_overlapping_globals,452
FUN_00476920,00476920,.,159,82,undefined_data|unnamed_param|warning_overlapping_globals,994
FUN_00476ce0,00476ce0,.,14,11,param_count_too_few|unnamed_param,134
FUN_00476df0,00476df0,.,4,1,undefined_data,19
FUN_00476e10,00476e10,.,6,2,undefined_data,31
FUN_004775b0,004775b0,.,46,24,param_count_too_few|unnamed_param,296
FUN_00477660,00477660,.,4,3,param_count_too_few|unnamed_param,44
FUN_004785a0,004785a0,.,70,11,param_count_too_few|self_copy_guard|unknown_type|unnamed_param|warning_overlapping_globals,205
FUN_00479390,00479390,.,22,8,unnamed_param|unresolved_funcptr,112
FUN_00479560,00479560,.,46,5,param_count_too_few|undefined_data|unnamed_param|unrolled_strcpy,116
FUN_004796b0,004796b0,.,5,2,unnamed_param,30
FUN_004796c0,004796c0,.,39,14,unnamed_param,184
FUN_004798e0,004798e0,.,24,15,param_count_too_few|unnamed_param|unresolved_funcptr|warning_overlapping_globals,194
FUN_00479990,00479990,.,20,12,unnamed_param|unresolved_funcptr|warning_overlapping_globals,155
FUN_00479ab0,00479ab0,.,22,13,param_count_too_few|unnamed_param|unresolved_funcptr,167
FUN_00479f50,00479f50,.,6,6,param_count_too_few|unnamed_param,76
FUN_00479f70,00479f70,.,19,15,undefined_data|unnamed_param|unresolved_funcptr,184
FUN_0047a000,0047a000,.,10,7,unnamed_param,85
FUN_0047a030,0047a030,.,13,7,unnamed_param,88
FUN_0047a210,0047a210,.,9,6,param_count_too_few|stack_ref|undefined_data|unnamed_param,89
FUN_0047a390,0047a390,.,59,22,param_count_too_few|undefined_data|unnamed_param|unrolled_strcpy|warning_overlapping_globals,304
FUN_0047a4c0,0047a4c0,.,32,22,param_count_too_few|undefined_data|unnamed_param,267
FUN_0047a650,0047a650,.,74,29,param_count_too_few|pointer_truncation|undefined_data|unnamed_param,384
FUN_0047a760,0047a760,.,65,30,param_count_too_few|undefined_data|unnamed_param,380
FUN_0047a8f0,0047a8f0,.,40,19,param_count_too_few|undefined_data|unnamed_param,245
FUN_0047aa00,0047aa00,.,11,9,param_count_too_few|unnamed_param,111
